"Notes"	"Standard Residence States"	"Standard Residence States Code"	"OE Gestational Age Recode 4"	"OE Gestational Age Recode 4 Code"	"Year"	"Year Code"	Fetal Deaths
	"Alaska"	"02"	"24 - 27 weeks"	"03"	"2016"	"2016"	Suppressed
	"Alaska"	"02"	"24 - 27 weeks"	"03"	"2017"	"2017"	12
	"Alaska"	"02"	"24 - 27 weeks"	"03"	"2018"	"2018"	10
	"Alaska"	"02"	"24 - 27 weeks"	"03"	"2019"	"2019"	17
	"Alaska"	"02"	"28 weeks or more"	"04"	"2015"	"2015"	35
	"Alaska"	"02"	"28 weeks or more"	"04"	"2016"	"2016"	46
	"Alaska"	"02"	"28 weeks or more"	"04"	"2017"	"2017"	35
	"Alaska"	"02"	"28 weeks or more"	"04"	"2018"	"2018"	26
	"Alaska"	"02"	"28 weeks or more"	"04"	"2019"	"2019"	24
	"Alaska"	"02"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Alaska"	"02"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Alaska"	"02"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Alaska"	"02"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Alaska"	"02"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Alaska"	"02"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Alaska"	"02"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Alaska"	"02"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Alaska"	"02"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Alaska"	"02"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Arizona"	"04"	"20 - 23 weeks"	"02"	"2015"	"2015"	182
	"Arizona"	"04"	"20 - 23 weeks"	"02"	"2016"	"2016"	160
	"Arizona"	"04"	"20 - 23 weeks"	"02"	"2017"	"2017"	147
	"Arizona"	"04"	"20 - 23 weeks"	"02"	"2018"	"2018"	150
	"Arizona"	"04"	"20 - 23 weeks"	"02"	"2019"	"2019"	175
	"Arizona"	"04"	"24 - 27 weeks"	"03"	"2015"	"2015"	69
	"Arizona"	"04"	"24 - 27 weeks"	"03"	"2016"	"2016"	67
	"Arizona"	"04"	"24 - 27 weeks"	"03"	"2017"	"2017"	75
	"Arizona"	"04"	"24 - 27 weeks"	"03"	"2018"	"2018"	72
	"Arizona"	"04"	"24 - 27 weeks"	"03"	"2019"	"2019"	71
	"Arizona"	"04"	"28 weeks or more"	"04"	"2015"	"2015"	270
	"Arizona"	"04"	"28 weeks or more"	"04"	"2016"	"2016"	233
	"Arizona"	"04"	"28 weeks or more"	"04"	"2017"	"2017"	243
	"Arizona"	"04"	"28 weeks or more"	"04"	"2018"	"2018"	251
	"Arizona"	"04"	"28 weeks or more"	"04"	"2019"	"2019"	251
	"Arizona"	"04"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Arizona"	"04"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Arizona"	"04"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Arizona"	"04"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Arizona"	"04"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Arizona"	"04"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Arizona"	"04"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Arizona"	"04"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Arizona"	"04"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Arizona"	"04"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Arkansas"	"05"	"20 - 23 weeks"	"02"	"2015"	"2015"	72
	"Arkansas"	"05"	"20 - 23 weeks"	"02"	"2016"	"2016"	46
	"Arkansas"	"05"	"20 - 23 weeks"	"02"	"2017"	"2017"	66
	"Arkansas"	"05"	"20 - 23 weeks"	"02"	"2018"	"2018"	84
	"Arkansas"	"05"	"20 - 23 weeks"	"02"	"2019"	"2019"	116
	"Arkansas"	"05"	"24 - 27 weeks"	"03"	"2015"	"2015"	42
	"Arkansas"	"05"	"24 - 27 weeks"	"03"	"2016"	"2016"	35
	"Arkansas"	"05"	"24 - 27 weeks"	"03"	"2017"	"2017"	43
	"Arkansas"	"05"	"24 - 27 weeks"	"03"	"2018"	"2018"	44
	"Arkansas"	"05"	"24 - 27 weeks"	"03"	"2019"	"2019"	57
	"Arkansas"	"05"	"28 weeks or more"	"04"	"2015"	"2015"	133
	"Arkansas"	"05"	"28 weeks or more"	"04"	"2016"	"2016"	130
	"Arkansas"	"05"	"28 weeks or more"	"04"	"2017"	"2017"	133
	"Arkansas"	"05"	"28 weeks or more"	"04"	"2018"	"2018"	131
	"Arkansas"	"05"	"28 weeks or more"	"04"	"2019"	"2019"	133
	"Arkansas"	"05"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Arkansas"	"05"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Arkansas"	"05"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Arkansas"	"05"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Arkansas"	"05"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Arkansas"	"05"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Arkansas"	"05"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Arkansas"	"05"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Arkansas"	"05"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Arkansas"	"05"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"California"	"06"	"20 - 23 weeks"	"02"	"2015"	"2015"	853
	"California"	"06"	"20 - 23 weeks"	"02"	"2016"	"2016"	901
	"California"	"06"	"20 - 23 weeks"	"02"	"2017"	"2017"	822
	"California"	"06"	"20 - 23 weeks"	"02"	"2018"	"2018"	821
	"California"	"06"	"20 - 23 weeks"	"02"	"2019"	"2019"	783
	"California"	"06"	"24 - 27 weeks"	"03"	"2015"	"2015"	370
	"California"	"06"	"24 - 27 weeks"	"03"	"2016"	"2016"	374
	"California"	"06"	"24 - 27 weeks"	"03"	"2017"	"2017"	371
	"California"	"06"	"24 - 27 weeks"	"03"	"2018"	"2018"	335
	"California"	"06"	"24 - 27 weeks"	"03"	"2019"	"2019"	300
	"California"	"06"	"28 weeks or more"	"04"	"2015"	"2015"	1221
	"California"	"06"	"28 weeks or more"	"04"	"2016"	"2016"	1224
	"California"	"06"	"28 weeks or more"	"04"	"2017"	"2017"	1188
	"California"	"06"	"28 weeks or more"	"04"	"2018"	"2018"	1108
	"California"	"06"	"28 weeks or more"	"04"	"2019"	"2019"	1069
	"California"	"06"	"Unknown"	"05"	"2015"	"2015"	21
	"California"	"06"	"Unknown"	"05"	"2016"	"2016"	11
	"California"	"06"	"Unknown"	"05"	"2017"	"2017"	20
	"California"	"06"	"Unknown"	"05"	"2018"	"2018"	14
	"California"	"06"	"Unknown"	"05"	"2019"	"2019"	19
	"California"	"06"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"California"	"06"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"California"	"06"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"California"	"06"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"California"	"06"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Colorado"	"08"	"20 - 23 weeks"	"02"	"2015"	"2015"	130
	"Colorado"	"08"	"20 - 23 weeks"	"02"	"2016"	"2016"	143
	"Colorado"	"08"	"20 - 23 weeks"	"02"	"2017"	"2017"	164
	"Colorado"	"08"	"20 - 23 weeks"	"02"	"2018"	"2018"	136
	"Colorado"	"08"	"20 - 23 weeks"	"02"	"2019"	"2019"	136
	"Colorado"	"08"	"24 - 27 weeks"	"03"	"2015"	"2015"	61
	"Colorado"	"08"	"24 - 27 weeks"	"03"	"2016"	"2016"	64
	"Colorado"	"08"	"24 - 27 weeks"	"03"	"2017"	"2017"	49
	"Colorado"	"08"	"24 - 27 weeks"	"03"	"2018"	"2018"	48
	"Colorado"	"08"	"24 - 27 weeks"	"03"	"2019"	"2019"	42
	"Colorado"	"08"	"28 weeks or more"	"04"	"2015"	"2015"	186
	"Colorado"	"08"	"28 weeks or more"	"04"	"2016"	"2016"	186
	"Colorado"	"08"	"28 weeks or more"	"04"	"2017"	"2017"	147
	"Colorado"	"08"	"28 weeks or more"	"04"	"2018"	"2018"	154
	"Colorado"	"08"	"28 weeks or more"	"04"	"2019"	"2019"	172
	"Colorado"	"08"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Colorado"	"08"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Colorado"	"08"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Colorado"	"08"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Colorado"	"08"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Colorado"	"08"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Colorado"	"08"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Colorado"	"08"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Colorado"	"08"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Colorado"	"08"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Connecticut"	"09"	"20 - 23 weeks"	"02"	"2015"	"2015"	59
	"Connecticut"	"09"	"20 - 23 weeks"	"02"	"2016"	"2016"	51
	"Connecticut"	"09"	"20 - 23 weeks"	"02"	"2017"	"2017"	73
	"Connecticut"	"09"	"20 - 23 weeks"	"02"	"2018"	"2018"	68
	"Connecticut"	"09"	"20 - 23 weeks"	"02"	"2019"	"2019"	46
	"Connecticut"	"09"	"24 - 27 weeks"	"03"	"2015"	"2015"	18
	"Connecticut"	"09"	"24 - 27 weeks"	"03"	"2016"	"2016"	20
	"Connecticut"	"09"	"24 - 27 weeks"	"03"	"2017"	"2017"	26
	"Connecticut"	"09"	"24 - 27 weeks"	"03"	"2018"	"2018"	14
	"Connecticut"	"09"	"24 - 27 weeks"	"03"	"2019"	"2019"	26
	"Connecticut"	"09"	"28 weeks or more"	"04"	"2015"	"2015"	92
	"Connecticut"	"09"	"28 weeks or more"	"04"	"2016"	"2016"	76
	"Connecticut"	"09"	"28 weeks or more"	"04"	"2017"	"2017"	86
	"Connecticut"	"09"	"28 weeks or more"	"04"	"2018"	"2018"	91
	"Connecticut"	"09"	"28 weeks or more"	"04"	"2019"	"2019"	61
	"Connecticut"	"09"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Connecticut"	"09"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Connecticut"	"09"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Connecticut"	"09"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Connecticut"	"09"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Connecticut"	"09"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Connecticut"	"09"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Connecticut"	"09"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Connecticut"	"09"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Connecticut"	"09"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Delaware"	"10"	"20 - 23 weeks"	"02"	"2015"	"2015"	28
	"Delaware"	"10"	"20 - 23 weeks"	"02"	"2016"	"2016"	14
	"Delaware"	"10"	"20 - 23 weeks"	"02"	"2017"	"2017"	17
	"Delaware"	"10"	"20 - 23 weeks"	"02"	"2018"	"2018"	Suppressed
	"Delaware"	"10"	"20 - 23 weeks"	"02"	"2019"	"2019"	14
	"Delaware"	"10"	"24 - 27 weeks"	"03"	"2015"	"2015"	Suppressed
	"Delaware"	"10"	"24 - 27 weeks"	"03"	"2016"	"2016"	12
	"Delaware"	"10"	"24 - 27 weeks"	"03"	"2017"	"2017"	Suppressed
	"Delaware"	"10"	"24 - 27 weeks"	"03"	"2018"	"2018"	13
	"Delaware"	"10"	"24 - 27 weeks"	"03"	"2019"	"2019"	Suppressed
	"Delaware"	"10"	"28 weeks or more"	"04"	"2015"	"2015"	36
	"Delaware"	"10"	"28 weeks or more"	"04"	"2016"	"2016"	27
	"Delaware"	"10"	"28 weeks or more"	"04"	"2017"	"2017"	33
	"Delaware"	"10"	"28 weeks or more"	"04"	"2018"	"2018"	39
	"Delaware"	"10"	"28 weeks or more"	"04"	"2019"	"2019"	38
	"Delaware"	"10"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Delaware"	"10"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Delaware"	"10"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Delaware"	"10"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Delaware"	"10"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Delaware"	"10"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Delaware"	"10"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Delaware"	"10"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Delaware"	"10"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Delaware"	"10"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"District of Columbia"	"11"	"20 - 23 weeks"	"02"	"2015"	"2015"	42
	"District of Columbia"	"11"	"20 - 23 weeks"	"02"	"2016"	"2016"	37
	"District of Columbia"	"11"	"20 - 23 weeks"	"02"	"2017"	"2017"	22
	"District of Columbia"	"11"	"20 - 23 weeks"	"02"	"2018"	"2018"	35
	"District of Columbia"	"11"	"20 - 23 weeks"	"02"	"2019"	"2019"	30
	"District of Columbia"	"11"	"24 - 27 weeks"	"03"	"2015"	"2015"	10
	"District of Columbia"	"11"	"24 - 27 weeks"	"03"	"2016"	"2016"	16
	"District of Columbia"	"11"	"24 - 27 weeks"	"03"	"2017"	"2017"	10
	"District of Columbia"	"11"	"24 - 27 weeks"	"03"	"2018"	"2018"	12
	"District of Columbia"	"11"	"24 - 27 weeks"	"03"	"2019"	"2019"	16
	"District of Columbia"	"11"	"28 weeks or more"	"04"	"2015"	"2015"	40
	"District of Columbia"	"11"	"28 weeks or more"	"04"	"2016"	"2016"	31
	"District of Columbia"	"11"	"28 weeks or more"	"04"	"2017"	"2017"	36
	"District of Columbia"	"11"	"28 weeks or more"	"04"	"2018"	"2018"	27
	"District of Columbia"	"11"	"28 weeks or more"	"04"	"2019"	"2019"	40
	"District of Columbia"	"11"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"District of Columbia"	"11"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"District of Columbia"	"11"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"District of Columbia"	"11"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"District of Columbia"	"11"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"District of Columbia"	"11"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"District of Columbia"	"11"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"District of Columbia"	"11"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"District of Columbia"	"11"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"District of Columbia"	"11"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Florida"	"12"	"20 - 23 weeks"	"02"	"2015"	"2015"	660
	"Florida"	"12"	"20 - 23 weeks"	"02"	"2016"	"2016"	627
	"Florida"	"12"	"20 - 23 weeks"	"02"	"2017"	"2017"	586
	"Florida"	"12"	"20 - 23 weeks"	"02"	"2018"	"2018"	612
	"Florida"	"12"	"20 - 23 weeks"	"02"	"2019"	"2019"	571
	"Florida"	"12"	"24 - 27 weeks"	"03"	"2015"	"2015"	228
	"Florida"	"12"	"24 - 27 weeks"	"03"	"2016"	"2016"	228
	"Florida"	"12"	"24 - 27 weeks"	"03"	"2017"	"2017"	244
	"Florida"	"12"	"24 - 27 weeks"	"03"	"2018"	"2018"	234
	"Florida"	"12"	"24 - 27 weeks"	"03"	"2019"	"2019"	238
	"Florida"	"12"	"28 weeks or more"	"04"	"2015"	"2015"	672
	"Florida"	"12"	"28 weeks or more"	"04"	"2016"	"2016"	697
	"Florida"	"12"	"28 weeks or more"	"04"	"2017"	"2017"	728
	"Florida"	"12"	"28 weeks or more"	"04"	"2018"	"2018"	633
	"Florida"	"12"	"28 weeks or more"	"04"	"2019"	"2019"	690
	"Florida"	"12"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Florida"	"12"	"Unknown"	"05"	"2016"	"2016"	20
	"Florida"	"12"	"Unknown"	"05"	"2017"	"2017"	30
	"Florida"	"12"	"Unknown"	"05"	"2018"	"2018"	36
	"Florida"	"12"	"Unknown"	"05"	"2019"	"2019"	39
	"Florida"	"12"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Florida"	"12"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Florida"	"12"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Florida"	"12"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Florida"	"12"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Georgia"	"13"	"20 - 23 weeks"	"02"	"2015"	"2015"	485
	"Georgia"	"13"	"20 - 23 weeks"	"02"	"2016"	"2016"	428
	"Georgia"	"13"	"20 - 23 weeks"	"02"	"2017"	"2017"	425
	"Georgia"	"13"	"20 - 23 weeks"	"02"	"2018"	"2018"	410
	"Georgia"	"13"	"20 - 23 weeks"	"02"	"2019"	"2019"	385
	"Georgia"	"13"	"24 - 27 weeks"	"03"	"2015"	"2015"	173
	"Georgia"	"13"	"24 - 27 weeks"	"03"	"2016"	"2016"	165
	"Georgia"	"13"	"24 - 27 weeks"	"03"	"2017"	"2017"	176
	"Georgia"	"13"	"24 - 27 weeks"	"03"	"2018"	"2018"	144
	"Georgia"	"13"	"24 - 27 weeks"	"03"	"2019"	"2019"	134
	"Georgia"	"13"	"28 weeks or more"	"04"	"2015"	"2015"	471
	"Georgia"	"13"	"28 weeks or more"	"04"	"2016"	"2016"	474
	"Georgia"	"13"	"28 weeks or more"	"04"	"2017"	"2017"	436
	"Georgia"	"13"	"28 weeks or more"	"04"	"2018"	"2018"	417
	"Georgia"	"13"	"28 weeks or more"	"04"	"2019"	"2019"	453
	"Georgia"	"13"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Georgia"	"13"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Georgia"	"13"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Georgia"	"13"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Georgia"	"13"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Georgia"	"13"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Georgia"	"13"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Georgia"	"13"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Georgia"	"13"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Georgia"	"13"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Hawaii"	"15"	"20 - 23 weeks"	"02"	"2015"	"2015"	52
	"Hawaii"	"15"	"20 - 23 weeks"	"02"	"2016"	"2016"	50
	"Hawaii"	"15"	"20 - 23 weeks"	"02"	"2017"	"2017"	49
	"Hawaii"	"15"	"20 - 23 weeks"	"02"	"2018"	"2018"	48
	"Hawaii"	"15"	"20 - 23 weeks"	"02"	"2019"	"2019"	37
	"Hawaii"	"15"	"24 - 27 weeks"	"03"	"2015"	"2015"	14
	"Hawaii"	"15"	"24 - 27 weeks"	"03"	"2016"	"2016"	20
	"Hawaii"	"15"	"24 - 27 weeks"	"03"	"2017"	"2017"	13
	"Hawaii"	"15"	"24 - 27 weeks"	"03"	"2018"	"2018"	20
	"Hawaii"	"15"	"24 - 27 weeks"	"03"	"2019"	"2019"	20
	"Hawaii"	"15"	"28 weeks or more"	"04"	"2015"	"2015"	32
	"Hawaii"	"15"	"28 weeks or more"	"04"	"2016"	"2016"	47
	"Hawaii"	"15"	"28 weeks or more"	"04"	"2017"	"2017"	55
	"Hawaii"	"15"	"28 weeks or more"	"04"	"2018"	"2018"	51
	"Hawaii"	"15"	"28 weeks or more"	"04"	"2019"	"2019"	28
	"Hawaii"	"15"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Hawaii"	"15"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Hawaii"	"15"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Hawaii"	"15"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Hawaii"	"15"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Hawaii"	"15"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Hawaii"	"15"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Hawaii"	"15"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Hawaii"	"15"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Hawaii"	"15"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Idaho"	"16"	"20 - 23 weeks"	"02"	"2015"	"2015"	46
	"Idaho"	"16"	"20 - 23 weeks"	"02"	"2016"	"2016"	32
	"Idaho"	"16"	"20 - 23 weeks"	"02"	"2017"	"2017"	40
	"Idaho"	"16"	"20 - 23 weeks"	"02"	"2018"	"2018"	41
	"Idaho"	"16"	"20 - 23 weeks"	"02"	"2019"	"2019"	40
	"Idaho"	"16"	"24 - 27 weeks"	"03"	"2015"	"2015"	19
	"Idaho"	"16"	"24 - 27 weeks"	"03"	"2016"	"2016"	21
	"Idaho"	"16"	"24 - 27 weeks"	"03"	"2017"	"2017"	13
	"Idaho"	"16"	"24 - 27 weeks"	"03"	"2018"	"2018"	Suppressed
	"Idaho"	"16"	"24 - 27 weeks"	"03"	"2019"	"2019"	11
	"Idaho"	"16"	"28 weeks or more"	"04"	"2015"	"2015"	75
	"Idaho"	"16"	"28 weeks or more"	"04"	"2016"	"2016"	59
	"Idaho"	"16"	"28 weeks or more"	"04"	"2017"	"2017"	53
	"Idaho"	"16"	"28 weeks or more"	"04"	"2018"	"2018"	62
	"Idaho"	"16"	"28 weeks or more"	"04"	"2019"	"2019"	60
	"Idaho"	"16"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Idaho"	"16"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Idaho"	"16"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Idaho"	"16"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Idaho"	"16"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Idaho"	"16"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Idaho"	"16"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Idaho"	"16"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Idaho"	"16"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Idaho"	"16"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Illinois"	"17"	"20 - 23 weeks"	"02"	"2015"	"2015"	409
	"Illinois"	"17"	"20 - 23 weeks"	"02"	"2016"	"2016"	417
	"Illinois"	"17"	"20 - 23 weeks"	"02"	"2017"	"2017"	367
	"Illinois"	"17"	"20 - 23 weeks"	"02"	"2018"	"2018"	406
	"Illinois"	"17"	"20 - 23 weeks"	"02"	"2019"	"2019"	328
	"Illinois"	"17"	"24 - 27 weeks"	"03"	"2015"	"2015"	142
	"Illinois"	"17"	"24 - 27 weeks"	"03"	"2016"	"2016"	127
	"Illinois"	"17"	"24 - 27 weeks"	"03"	"2017"	"2017"	142
	"Illinois"	"17"	"24 - 27 weeks"	"03"	"2018"	"2018"	139
	"Illinois"	"17"	"24 - 27 weeks"	"03"	"2019"	"2019"	131
	"Illinois"	"17"	"28 weeks or more"	"04"	"2015"	"2015"	423
	"Illinois"	"17"	"28 weeks or more"	"04"	"2016"	"2016"	421
	"Illinois"	"17"	"28 weeks or more"	"04"	"2017"	"2017"	399
	"Illinois"	"17"	"28 weeks or more"	"04"	"2018"	"2018"	345
	"Illinois"	"17"	"28 weeks or more"	"04"	"2019"	"2019"	370
	"Illinois"	"17"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Illinois"	"17"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Illinois"	"17"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Illinois"	"17"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Illinois"	"17"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Illinois"	"17"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Illinois"	"17"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Illinois"	"17"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Illinois"	"17"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Illinois"	"17"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Indiana"	"18"	"20 - 23 weeks"	"02"	"2015"	"2015"	162
	"Indiana"	"18"	"20 - 23 weeks"	"02"	"2016"	"2016"	175
