Mortalidad fetal
,Año de registro : 2018
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 De 28 semanas, 648, 3, 26, 3, 5, 1, , 17, 18, 52, 2, 26, 4, 8, 43, 220, 9, 6, 2, 16, 9, 39, 10, 6, 9, 9, 21, 15, 3, 4, 24, 32, 6
 De 29 semanas, 386, 3, 15, 1, 4, , 4, 15, 15, 31, 5, 29, 3, 10, 34, 52, 10, 7, 3, 20, 9, 33, 8, 7, 8, 4, 3, 8, 4, 4, 23, 7, 7
 De 30 semanas, 508, 8, 15, 5, 7, 2, 5, 28, 14, 38, 10, 27, 2, 8, 42, 64, 12, 7, 1, 19, 13, 48, 9, 15, 12, 10, 13, 10, 8, 5, 37, 9, 5
 De 31 semanas, 365, 1, 6, 2, 4, 4, 1, 18, 16, 34, 8, 34, 2, 4, 30, 55, 6, 2, 1, 24, 10, 27, 12, 3, 8, 4, 7, 4, 8, 5, 18, 5, 2
 De 32 semanas, 520, 6, 18, 2, 6, 4, 7, 19, 15, 39, 9, 40, 2, 6, 46, 75, 13, 4, 3, 27, 15, 34, 16, 10, 12, 2, 17, 11, 7, 8, 29, 15, 3
 De 33 semanas, 479, 7, 17, 3, 2, 3, 2, 17, 13, 39, 13, 30, 2, 10, 40, 71, 15, 3, 3, 24, 14, 46, 9, 9, 11, 4, 9, 12, 7, 4, 23, 7, 10
 De 34 semanas, 572, 7, 13, 4, 5, 7, 5, 19, 21, 54, 4, 45, 3, 16, 31, 90, 13, 5, , 18, 9, 47, 22, 6, 21, 8, 15, 16, 9, 5, 25, 17, 12
 De 35 semanas, 601, 7, 17, 3, 5, 5, 5, 22, 20, 44, 6, 45, 2, 12, 44, 106, 20, 7, 4, 25, 15, 38, 17, 6, 18, 5, 7, 12, 9, 7, 36, 17, 15
 De 36 semanas, 748, 7, 23, 3, 3, 7, 6, 38, 32, 49, 15, 57, 2, 18, 43, 108, 36, 6, 3, 34, 22, 57, 14, 15, 13, 5, 21, 10, 11, 13, 55, 17, 5
 De 37 semanas, 701, 3, 19, 3, 6, 3, 5, 28, 30, 48, 12, 47, , 16, 52, 124, 23, 6, 4, 29, 13, 65, 19, 11, 20, 9, 14, 13, 4, 9, 40, 16, 10
 De 38 semanas, 944, 6, 32, 7, 8, 9, 6, 61, 36, 62, 22, 57, 6, 19, 52, 143, 31, 6, , 45, 31, 71, 24, 18, 22, 7, 19, 29, 10, 10, 54, 24, 17
 De 39 semanas, 790, 4, 20, 2, 8, 4, 5, 68, 27, 53, 22, 52, 2, 17, 49, 116, 20, 14, , 21, 15, 65, 8, 13, 33, 11, 16, 27, 6, 9, 48, 21, 14
 De 40 semanas, 725, 6, 30, 4, 8, 4, 6, 64, 27, 45, 12, 50, 5, 17, 38, 115, 12, 10, 1, 19, 28, 54, 14, 14, 13, 11, 13, 13, 8, 7, 52, 15, 10
 De 41 semanas, 249, 4, 3, , 1, 1, 1, 11, 15, 9, 2, 18, 1, 4, 11, 45, 8, 3, 1, 7, 7, 26, 8, 5, 8, 3, 6, 4, 2, , 25, 8, 2
 De 42 semanas, 134, , 1, 1, , , , 24, 7, 8, 1, 7, , 2, 6, 24, 4, 2, , 1, 11, 19, 2, 1, 2, 1, 2, 2, 1, 1, 4, , 
 No especificado, 9, , 2, , , , , 1, 3, , , , , 2, , , , , , , , , , , , , , , , , , , 1


FUENTE: INEGI. Estadísticas de mortalidad.
