Mortalidad fetal
,Año de registro : 2020
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 De 33 semanas, 533, 17, 18, 4, 4, 16, 1, 44, 13, 20, 14, 42, 11, 3, 33, 61, 17, 8, 5, 21, 12, 44, 8, 10, 13, 8, 14, 13, 14, 4, 27, 11, 3
 De 34 semanas, 665, 9, 22, 7, 3, 14, 6, 47, 13, 36, 17, 51, 18, 12, 47, 80, 20, 13, 9, 32, 10, 45, 16, 8, 14, 5, 18, 8, 21, 8, 32, 17, 7
 De 35 semanas, 676, 9, 21, 4, 6, 15, 7, 39, 25, 45, 9, 44, 12, 16, 41, 90, 18, 6, 8, 27, 11, 51, 23, 6, 26, 6, 12, 22, 14, 7, 42, 11, 3
 De 36 semanas, 837, 15, 25, 3, 5, 10, 3, 49, 34, 39, 10, 69, 18, 26, 60, 114, 31, 3, 5, 38, 18, 66, 19, 12, 28, 12, 11, 19, 21, 6, 47, 11, 10
 De 37 semanas, 919, 14, 33, 4, 8, 10, 4, 57, 40, 67, 23, 52, 18, 19, 53, 141, 31, 8, 7, 39, 24, 64, 19, 11, 26, 11, 16, 29, 16, 5, 46, 20, 4
 De 38 semanas,"1,040", 13, 27, 4, 11, 13, 5, 95, 34, 63, 16, 60, 29, 15, 55, 146, 28, 13, 6, 34, 28, 86, 27, 25, 25, 13, 10, 37, 22, 9, 62, 15, 14
 De 39 semanas, 952, 7, 23, 6, 10, 12, 12, 97, 30, 44, 16, 59, 24, 16, 48, 120, 25, 20, 7, 23, 32, 76, 16, 15, 27, 10, 27, 28, 14, 11, 65, 18, 14
 De 40 semanas, 886, 6, 21, 2, 11, 13, 3, 131, 33, 44, 15, 49, 30, 16, 34, 110, 16, 18, 8, 13, 30, 79, 10, 10, 19, 3, 10, 40, 14, 12, 53, 21, 12
 De 41 semanas, 309, 3, 11, 2, 2, 3, 2, 38, 12, 7, 2, 18, 17, 4, 13, 49, 1, 6, , 7, 14, 28, 7, 6, 7, 1, , 8, 1, 3, 25, 12, 
 De 42 semanas, 143, 3, 1, 1, 1, 1, , 18, 7, 8, 2, 5, 10, , 5, 17, 1, 2, , 2, 12, 19, 2, 1, 2, 1, 3, 5, 3, 1, 10, , 
 No especificado, 1, , , , , , , , , , , , , , , , , , , , , , , , 1, , , , , , , , 


FUENTE: INEGI. Estadísticas de mortalidad.
