Mortalidad fetal
,Año de registro : 2015
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 De 22 semanas,"1,292", 11, 33, 11, 7, 8, 10, 28, 41, 160, 27, 87, 1, 24, 98, 281, 14, 20, 3, 50, 25, 64, 29, 9, 37, 22, 33, 10, 14, 18, 70, 24, 23
 De 23 semanas,"1,155", 11, 36, 7, 9, 14, 9, 34, 27, 125, 23, 84, 2, 29, 57, 259, 33, 17, 4, 50, 25, 60, 23, 17, 30, 20, 18, 10, 15, 18, 60, 18, 11
 De 24 semanas,"1,112", 8, 36, 2, 2, 7, 4, 33, 36, 128, 25, 84, 1, 17, 64, 237, 31, 21, 3, 38, 20, 88, 33, 6, 24, 11, 19, 13, 12, 14, 65, 22, 8
 De 25 semanas, 792, 12, 26, 1, 1, 8, 6, 28, 22, 82, 10, 44, 2, 12, 58, 141, 29, 9, 2, 21, 23, 66, 22, 7, 18, 12, 18, 11, 15, 12, 47, 14, 13
 De 26 semanas, 620, 6, 11, 2, 3, 2, 4, 19, 12, 59, 11, 39, 2, 17, 40, 111, 11, 11, 1, 18, 20, 61, 13, 6, 15, 12, 13, 15, 4, 10, 52, 10, 10
 De 27 semanas, 511, 3, 20, 2, 6, 4, 3, 23, 20, 52, 7, 26, 1, 7, 33, 88, 11, 9, 5, 16, 17, 42, 5, 8, 12, 7, 8, 14, 6, 2, 35, 9, 10
 De 28 semanas, 803, 4, 17, 5, 5, 6, 1, 20, 12, 64, 13, 42, 3, 11, 45, 346, 16, 7, 1, 15, 20, 37, 7, 10, 8, 5, 18, 10, 4, 4, 28, 13, 6
 De 29 semanas, 431, 3, 16, 3, 2, 5, 3, 14, 19, 40, 7, 27, 1, 7, 30, 61, 13, 10, 1, 24, 14, 33, 11, 11, 10, 6, 3, 8, 5, 2, 28, 10, 4
 De 30 semanas, 599, 7, 23, 4, 5, 5, 2, 31, 22, 52, 15, 36, 5, 14, 41, 84, 6, 8, 3, 22, 16, 41, 16, 8, 12, 5, 13, 10, 8, 8, 55, 12, 10
 De 31 semanas, 418, 10, 15, 1, 3, 5, 4, 15, 16, 36, 12, 38, 3, 6, 27, 54, 11, 6, 1, 19, 10, 28, 8, 5, 13, 6, 4, 8, 3, 3, 32, 9, 7
 De 32 semanas, 563, 4, 9, 4, 7, 7, 7, 16, 20, 37, 10, 31, 4, 17, 42, 88, 24, 13, , 13, 21, 44, 12, 4, 16, 17, 8, 14, 6, 6, 40, 12, 10
 De 33 semanas, 533, 4, 15, 3, 3, 9, 2, 24, 17, 26, 8, 45, 4, 9, 30, 90, 12, 7, 3, 23, 16, 39, 16, 10, 14, 10, 15, 16, 6, 2, 37, 12, 6
 De 34 semanas, 615, 7, 18, 9, 5, 5, 5, 27, 22, 47, 8, 31, 3, 16, 45, 86, 18, 6, 3, 23, 23, 55, 12, 13, 14, 9, 12, 18, 11, 3, 43, 14, 4
 De 35 semanas, 574, 7, 10, 2, 5, 5, 5, 27, 7, 46, 7, 49, 6, 19, 46, 73, 21, 6, , 23, 12, 35, 11, 7, 14, 10, 13, 15, 13, 3, 49, 18, 10
 De 36 semanas, 810, 9, 16, 7, 5, 6, 16, 34, 30, 66, 15, 52, 8, 21, 60, 145, 30, 6, 4, 35, 11, 64, 19, 7, 9, 11, 10, 20, 12, 14, 49, 11, 8
 De 37 semanas, 835, 10, 26, 3, 10, 3, 6, 39, 31, 50, 18, 54, 2, 26, 66, 140, 24, 9, 4, 27, 29, 44, 21, 13, 20, 6, 12, 32, 16, 7, 57, 21, 9
 De 38 semanas,"1,065", 7, 25, 4, 9, 7, 9, 67, 42, 85, 15, 81, 4, 20, 73, 162, 22, 10, 1, 35, 34, 86, 33, 13, 23, 17, 20, 26, 14, 12, 73, 20, 16
 De 39 semanas, 927, 16, 29, 7, 8, 6, 6, 78, 26, 45, 15, 59, 9, 14, 63, 143, 16, 7, 3, 29, 38, 66, 22, 18, 15, 14, 22, 21, 11, 15, 75, 19, 12
 De 40 semanas,"1,011", 8, 31, 4, 2, 4, 10, 104, 17, 52, 18, 59, 9, 22, 59, 138, 17, 6, 5, 28, 43, 82, 24, 17, 26, 11, 15, 34, 9, 18, 110, 17, 12
 De 41 semanas, 349, 4, 12, 4, 4, 2, 5, 16, 13, 26, 6, 17, 1, 7, 20, 54, 4, 4, 3, 10, 15, 33, 6, 3, 8, 5, 7, 8, 5, 4, 33, 6, 4
 De 42 semanas, 167, 1, 3, 2, 1, 2, 2, 18, 3, 6, 4, 5, 3, 4, 6, 26, 2, 2, , 1, 10, 16, , 4, 3, 1, 2, 6, 1, 2, 23, 5, 3
 No especificado, 5, , 1, , , , , , , , , , 2, , , , , , 1, , 1, , , , , , , , , , , , 


FUENTE: INEGI. Estadísticas de mortalidad.
