Mortalidad fetal
,Año de registro : 2019
,

Consulta de: Mortalidad fetal   Por: Edad gestacional   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 De 32 semanas, 613, 10, 16, 1, 2, 9, 5, 44, 21, 29, 15, 37, 6, 14, 44, 77, 19, 13, 5, 29, 16, 45, 17, 12, 18, 10, 16, 12, 17, 3, 30, 12, 9
 De 33 semanas, 510, 8, 20, 2, 3, 18, 9, 25, 10, 32, 9, 35, 20, 7, 40, 67, 15, 6, 3, 27, 11, 37, 10, 7, 14, 3, 7, 12, 7, 3, 32, 7, 4
 De 34 semanas, 596, 12, 21, 2, 3, 11, 1, 32, 24, 41, 14, 30, 8, 7, 43, 91, 24, 9, 4, 31, 13, 35, 8, 7, 16, 10, 14, 14, 18, 7, 32, 10, 4
 De 35 semanas, 618, 8, 19, 2, 4, 11, 2, 36, 24, 35, 11, 42, 18, 14, 39, 91, 18, 5, 7, 24, 17, 45, 6, 8, 23, 8, 17, 19, 17, 5, 28, 10, 5
 De 36 semanas, 792, 6, 22, 3, 9, 11, 12, 51, 26, 42, 12, 48, 11, 12, 62, 102, 27, 8, 11, 27, 23, 58, 17, 11, 23, 6, 15, 23, 17, 14, 63, 17, 3
 De 37 semanas, 852, 15, 23, 6, 2, 19, 7, 42, 43, 59, 12, 55, 17, 13, 64, 132, 30, 10, 3, 45, 20, 47, 13, 12, 31, 9, 15, 26, 12, 6, 38, 10, 16
 De 38 semanas, 985, 13, 16, 6, 9, 28, 9, 65, 40, 54, 21, 45, 29, 15, 71, 135, 43, 15, 7, 40, 38, 66, 19, 16, 27, 9, 12, 30, 22, 9, 47, 16, 13
 De 39 semanas, 865, 13, 12, 2, 1, 27, 4, 82, 28, 39, 11, 39, 29, 28, 38, 119, 34, 10, 7, 23, 30, 61, 18, 13, 18, 11, 15, 32, 16, 15, 55, 15, 20
 De 40 semanas, 836, 4, 13, 5, 3, 21, 6, 100, 20, 29, 13, 44, 35, 18, 38, 118, 28, 18, 4, 21, 31, 61, 11, 16, 18, 10, 10, 32, 9, 9, 69, 12, 10
 De 41 semanas, 306, 3, 6, 1, 3, 10, 1, 33, 10, 10, 4, 11, 16, 4, 16, 41, 9, 4, 2, 6, 16, 27, 4, 11, 7, 5, 4, 5, 6, 3, 19, 3, 6
 De 42 semanas, 156, 6, 5, , 1, 8, , 17, 3, 5, 2, 6, 6, 4, 7, 14, 3, 2, 2, 11, 7, 19, 3, 1, 1, 2, 1, 2, 2, 2, 9, 3, 2
 No especificado, 17, 1, 1, , , , , 4, 1, , , , , 2, 1, , , , , , , 2, , , , , , , , , 4, , 1


FUENTE: INEGI. Estadísticas de mortalidad.
