"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"New Jersey"	"34"	"2015"	"2015"	337	103127	3.3
	"New Jersey"	"34"	"2016"	"2016"	297	102647	2.9
	"New Jersey"	"34"	"2017"	"2017"	319	101250	3.2
	"New Jersey"	"34"	"2018"	"2018"	266	101223	2.6
	"New Jersey"	"34"	"2019"	"2019"	283	99585	2.8
	"New Jersey"	"34"	"2020 "	"2020"	254	97954	2.6
	"New Mexico"	"35"	"2015"	"2015"	79	25816	3.1
	"New Mexico"	"35"	"2016"	"2016"	107	24692	4.3
	"New Mexico"	"35"	"2017"	"2017"	89	23767	3.7
	"New Mexico"	"35"	"2018"	"2018"	94	23039	4.1
	"New Mexico"	"35"	"2019"	"2019"	90	22960	3.9
	"New Mexico"	"35"	"2020 "	"2020"	75	21903	3.4
	"New York"	"36"	"2015"	"2015"	736	237274	3.1
	"New York"	"36"	"2016"	"2016"	703	234283	3.0
	"New York"	"36"	"2017"	"2017"	706	229737	3.1
	"New York"	"36"	"2018"	"2018"	654	226238	2.9
	"New York"	"36"	"2019"	"2019"	626	221539	2.8
	"New York"	"36"	"2020 "	"2020"	552	209338	2.6
	"North Carolina"	"37"	"2015"	"2015"	589	120843	4.9
	"North Carolina"	"37"	"2016"	"2016"	588	120779	4.9
	"North Carolina"	"37"	"2017"	"2017"	572	120125	4.8
	"North Carolina"	"37"	"2018"	"2018"	506	118954	4.3
	"North Carolina"	"37"	"2019"	"2019"	547	118725	4.6
	"North Carolina"	"37"	"2020 "	"2020"	553	116730	4.7
	"North Dakota"	"38"	"2015"	"2015"	50	11314	4.4
	"North Dakota"	"38"	"2016"	"2016"	49	11383	4.3
	"North Dakota"	"38"	"2017"	"2017"	34	10737	3.2
	"North Dakota"	"38"	"2018"	"2018"	36	10636	3.4
	"North Dakota"	"38"	"2019"	"2019"	48	10454	4.6
	"North Dakota"	"38"	"2020 "	"2020"	36	10059	3.6
	"Ohio"	"39"	"2015"	"2015"	667	139264	4.8
	"Ohio"	"39"	"2016"	"2016"	712	138085	5.2
	"Ohio"	"39"	"2017"	"2017"	685	136832	5.0
	"Ohio"	"39"	"2018"	"2018"	632	135134	4.7
	"Ohio"	"39"	"2019"	"2019"	615	134461	4.6
	"Ohio"	"39"	"2020 "	"2020"	574	129191	4.4
	"Oklahoma"	"40"	"2015"	"2015"	234	53122	4.4
	"Oklahoma"	"40"	"2016"	"2016"	237	52592	4.5
	"Oklahoma"	"40"	"2017"	"2017"	248	50214	4.9
	"Oklahoma"	"40"	"2018"	"2018"	212	49800	4.3
	"Oklahoma"	"40"	"2019"	"2019"	216	49143	4.4
	"Oklahoma"	"40"	"2020 "	"2020"	156	47623	3.3
	"Oregon"	"41"	"2015"	"2015"	149	45655	3.3
	"Oregon"	"41"	"2016"	"2016"	148	45535	3.3
	"Oregon"	"41"	"2017"	"2017"	157	43631	3.6
	"Oregon"	"41"	"2018"	"2018"	110	42188	2.6
	"Oregon"	"41"	"2019"	"2019"	130	41858	3.1
	"Oregon"	"41"	"2020 "	"2020"	113	39820	2.8
	"Pennsylvania"	"42"	"2015"	"2015"	614	141047	4.4
	"Pennsylvania"	"42"	"2016"	"2016"	617	139409	4.4
	"Pennsylvania"	"42"	"2017"	"2017"	598	137745	4.3
	"Pennsylvania"	"42"	"2018"	"2018"	571	135673	4.2
	"Pennsylvania"	"42"	"2019"	"2019"	549	134230	4.1
	"Pennsylvania"	"42"	"2020 "	"2020"	495	130693	3.8
	"Rhode Island"	"44"	"2015"	"2015"	50	10993	4.5
	"Rhode Island"	"44"	"2016"	"2016"	48	10798	4.4
	"Rhode Island"	"44"	"2017"	"2017"	47	10638	4.4
	"Rhode Island"	"44"	"2018"	"2018"	41	10506	3.9
	"Rhode Island"	"44"	"2019"	"2019"	46	10175	4.5
	"Rhode Island"	"44"	"2020 "	"2020"	27	10101	2.7
	"South Carolina"	"45"	"2015"	"2015"	265	58139	4.6
	"South Carolina"	"45"	"2016"	"2016"	253	57342	4.4
	"South Carolina"	"45"	"2017"	"2017"	239	57029	4.2
	"South Carolina"	"45"	"2018"	"2018"	272	56669	4.8
	"South Carolina"	"45"	"2019"	"2019"	256	57038	4.5
	"South Carolina"	"45"	"2020 "	"2020"	247	55704	4.4
	"South Dakota"	"46"	"2015"	"2015"	59	12336	4.8
	"South Dakota"	"46"	"2016"	"2016"	31	12275	2.5
	"South Dakota"	"46"	"2017"	"2017"	67	12134	5.5
	"South Dakota"	"46"	"2018"	"2018"	36	11893	3.0
	"South Dakota"	"46"	"2019"	"2019"	46	11449	4.0
	"South Dakota"	"46"	"2020 "	"2020"	43	10960	3.9
	"Tennessee"	"47"	"2015"	"2015"	334	81685	4.1
	"Tennessee"	"47"	"2016"	"2016"	345	80807	4.3
	"Tennessee"	"47"	"2017"	"2017"	379	81016	4.7
	"Tennessee"	"47"	"2018"	"2018"	362	80751	4.5
	"Tennessee"	"47"	"2019"	"2019"	365	80450	4.5
	"Tennessee"	"47"	"2020 "	"2020"	306	78689	3.9
	"Texas"	"48"	"2015"	"2015"	1501	403618	3.7
	"Texas"	"48"	"2016"	"2016"	1496	398047	3.8
	"Texas"	"48"	"2017"	"2017"	1502	382050	3.9
	"Texas"	"48"	"2018"	"2018"	1382	378624	3.7
	"Texas"	"48"	"2019"	"2019"	1376	377599	3.6
	"Texas"	"48"	"2020 "	"2020"	1300	368190	3.5
	"Utah"	"49"	"2015"	"2015"	171	50778	3.4
	"Utah"	"49"	"2016"	"2016"	207	50464	4.1
	"Utah"	"49"	"2017"	"2017"	217	48585	4.5
	"Utah"	"49"	"2018"	"2018"	196	47209	4.2
	"Utah"	"49"	"2019"	"2019"	191	46826	4.1
	"Utah"	"49"	"2020 "	"2020"	181	45702	4.0
	"Vermont"	"50"	"2015"	"2015"	17	5903	Unreliable
	"Vermont"	"50"	"2016"	"2016"	10	5756	Unreliable
	"Vermont"	"50"	"2017"	"2017"	20	5655	3.5
	"Vermont"	"50"	"2018"	"2018"	17	5432	Unreliable
	"Vermont"	"50"	"2019"	"2019"	Suppressed	Suppressed	Suppressed
	"Vermont"	"50"	"2020 "	"2020"	11	5133	Unreliable
	"Virginia"	"51"	"2015"	"2015"	399	103303	3.9
	"Virginia"	"51"	"2016"	"2016"	385	102460	3.8
	"Virginia"	"51"	"2017"	"2017"	401	100391	4.0
	"Virginia"	"51"	"2018"	"2018"	367	99843	3.7
	"Virginia"	"51"	"2019"	"2019"	376	97429	3.9
	"Virginia"	"51"	"2020 "	"2020"	361	94749	3.8
	"Washington"	"53"	"2015"	"2015"	289	88990	3.2
	"Washington"	"53"	"2016"	"2016"	251	90505	2.8
	"Washington"	"53"	"2017"	"2017"	209	87562	2.4
	"Washington"	"53"	"2018"	"2018"	270	86085	3.1
	"Washington"	"53"	"2019"	"2019"	249	84895	2.9
	"Washington"	"53"	"2020 "	"2020"	246	83086	3.0
	"West Virginia"	"54"	"2015"	"2015"	88	19805	4.4
	"West Virginia"	"54"	"2016"	"2016"	85	19079	4.5
	"West Virginia"	"54"	"2017"	"2017"	78	18675	4.2
	"West Virginia"	"54"	"2018"	"2018"	80	18248	4.4
	"West Virginia"	"54"	"2019"	"2019"	74	18136	4.1
	"West Virginia"	"54"	"2020 "	"2020"	84	17323	4.8
	"Wisconsin"	"55"	"2015"	"2015"	269	67041	4.0
	"Wisconsin"	"55"	"2016"	"2016"	283	66615	4.2
	"Wisconsin"	"55"	"2017"	"2017"	261	64975	4.0
	"Wisconsin"	"55"	"2018"	"2018"	249	64098	3.9
	"Wisconsin"	"55"	"2019"	"2019"	252	63270	4.0
	"Wisconsin"	"55"	"2020 "	"2020"	255	60594	4.2
	"Wyoming"	"56"	"2015"	"2015"	25	7765	3.2
	"Wyoming"	"56"	"2016"	"2016"	24	7386	3.2
	"Wyoming"	"56"	"2017"	"2017"	20	6903	2.9
	"Wyoming"	"56"	"2018"	"2018"	19	6562	Unreliable
	"Wyoming"	"56"	"2019"	"2019"	30	6565	4.6
	"Wyoming"	"56"	"2020 "	"2020"	20	6128	3.3
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Infant Age Groups: < 1 day; 1-6 days; 7-27 days"
"Year/Month: 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: State; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 18, 2022 2:10:20 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on May 18, 2022 2:10:20 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"3. The population figures used in this table are the number of live births. Number of live births has been substituted for the"
"estimate of the population under 1 year of age to permit calculation of infant mortality rates. All rates in this table are"
"calculated by dividing the number of infant deaths by the number of registered live births in the same time period. It is"
"recommended that infant mortality rates be calculated per 1,000 births. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Infant Mortality."
