"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Florida"	"12"	"2016"	"2016"	225022
	"Florida"	"12"	"2017"	"2017"	223630
	"Florida"	"12"	"2018"	"2018"	221542
	"Florida"	"12"	"2019"	"2019"	220002
	"Florida"	"12"	"2020"	"2020"	209671
"Total"	"Florida"	"12"			1324136
	"Georgia"	"13"	"2015"	"2015"	131404
	"Georgia"	"13"	"2016"	"2016"	130042
	"Georgia"	"13"	"2017"	"2017"	129243
	"Georgia"	"13"	"2018"	"2018"	126172
	"Georgia"	"13"	"2019"	"2019"	126371
	"Georgia"	"13"	"2020"	"2020"	122473
"Total"	"Georgia"	"13"			765705
	"Hawaii"	"15"	"2015"	"2015"	18420
	"Hawaii"	"15"	"2016"	"2016"	18059
	"Hawaii"	"15"	"2017"	"2017"	17517
	"Hawaii"	"15"	"2018"	"2018"	16972
	"Hawaii"	"15"	"2019"	"2019"	16797
	"Hawaii"	"15"	"2020"	"2020"	15785
"Total"	"Hawaii"	"15"			103550
	"Idaho"	"16"	"2015"	"2015"	22827
	"Idaho"	"16"	"2016"	"2016"	22482
	"Idaho"	"16"	"2017"	"2017"	22181
	"Idaho"	"16"	"2018"	"2018"	21403
	"Idaho"	"16"	"2019"	"2019"	22063
	"Idaho"	"16"	"2020"	"2020"	21533
"Total"	"Idaho"	"16"			132489
	"Illinois"	"17"	"2015"	"2015"	158116
	"Illinois"	"17"	"2016"	"2016"	154445
	"Illinois"	"17"	"2017"	"2017"	149390
	"Illinois"	"17"	"2018"	"2018"	144815
	"Illinois"	"17"	"2019"	"2019"	140128
	"Illinois"	"17"	"2020"	"2020"	133298
"Total"	"Illinois"	"17"			880192
	"Indiana"	"18"	"2015"	"2015"	84040
	"Indiana"	"18"	"2016"	"2016"	83091
	"Indiana"	"18"	"2017"	"2017"	82170
	"Indiana"	"18"	"2018"	"2018"	81646
	"Indiana"	"18"	"2019"	"2019"	80859
	"Indiana"	"18"	"2020"	"2020"	78616
"Total"	"Indiana"	"18"			490422
	"Iowa"	"19"	"2015"	"2015"	39482
	"Iowa"	"19"	"2016"	"2016"	39403
	"Iowa"	"19"	"2017"	"2017"	38430
	"Iowa"	"19"	"2018"	"2018"	37785
	"Iowa"	"19"	"2019"	"2019"	37649
	"Iowa"	"19"	"2020"	"2020"	36114
"Total"	"Iowa"	"19"			228863
	"Kansas"	"20"	"2015"	"2015"	39154
	"Kansas"	"20"	"2016"	"2016"	38053
	"Kansas"	"20"	"2017"	"2017"	36519
	"Kansas"	"20"	"2018"	"2018"	36261
	"Kansas"	"20"	"2019"	"2019"	35395
	"Kansas"	"20"	"2020"	"2020"	34376
"Total"	"Kansas"	"20"			219758
	"Kentucky"	"21"	"2015"	"2015"	55971
	"Kentucky"	"21"	"2016"	"2016"	55449
	"Kentucky"	"21"	"2017"	"2017"	54752
	"Kentucky"	"21"	"2018"	"2018"	53922
	"Kentucky"	"21"	"2019"	"2019"	53069
	"Kentucky"	"21"	"2020"	"2020"	51668
"Total"	"Kentucky"	"21"			324831
	"Louisiana"	"22"	"2015"	"2015"	64692
	"Louisiana"	"22"	"2016"	"2016"	63178
	"Louisiana"	"22"	"2017"	"2017"	61018
	"Louisiana"	"22"	"2018"	"2018"	59615
	"Louisiana"	"22"	"2019"	"2019"	58941
	"Louisiana"	"22"	"2020"	"2020"	57328
"Total"	"Louisiana"	"22"			364772
	"Maine"	"23"	"2015"	"2015"	12607
	"Maine"	"23"	"2016"	"2016"	12705
	"Maine"	"23"	"2017"	"2017"	12298
	"Maine"	"23"	"2018"	"2018"	12311
	"Maine"	"23"	"2019"	"2019"	11779
	"Maine"	"23"	"2020"	"2020"	11539
"Total"	"Maine"	"23"			73239
	"Maryland"	"24"	"2015"	"2015"	73616
	"Maryland"	"24"	"2016"	"2016"	73136
	"Maryland"	"24"	"2017"	"2017"	71641
	"Maryland"	"24"	"2018"	"2018"	71080
	"Maryland"	"24"	"2019"	"2019"	70178
	"Maryland"	"24"	"2020"	"2020"	68554
"Total"	"Maryland"	"24"			428205
	"Massachusetts"	"25"	"2015"	"2015"	71492
	"Massachusetts"	"25"	"2016"	"2016"	71317
	"Massachusetts"	"25"	"2017"	"2017"	70702
	"Massachusetts"	"25"	"2018"	"2018"	69109
	"Massachusetts"	"25"	"2019"	"2019"	69117
	"Massachusetts"	"25"	"2020"	"2020"	66428
"Total"	"Massachusetts"	"25"			418165
	"Michigan"	"26"	"2015"	"2015"	113312
	"Michigan"	"26"	"2016"	"2016"	113315
	"Michigan"	"26"	"2017"	"2017"	111426
	"Michigan"	"26"	"2018"	"2018"	110032
	"Michigan"	"26"	"2019"	"2019"	107886
	"Michigan"	"26"	"2020"	"2020"	104074
"Total"	"Michigan"	"26"			660045
	"Minnesota"	"27"	"2015"	"2015"	69834
	"Minnesota"	"27"	"2016"	"2016"	69749
	"Minnesota"	"27"	"2017"	"2017"	68595
	"Minnesota"	"27"	"2018"	"2018"	67344
	"Minnesota"	"27"	"2019"	"2019"	66027
	"Minnesota"	"27"	"2020"	"2020"	63443
"Total"	"Minnesota"	"27"			404992
	"Mississippi"	"28"	"2015"	"2015"	38394
	"Mississippi"	"28"	"2016"	"2016"	37928
	"Mississippi"	"28"	"2017"	"2017"	37357
	"Mississippi"	"28"	"2018"	"2018"	37000
	"Mississippi"	"28"	"2019"	"2019"	36636
	"Mississippi"	"28"	"2020"	"2020"	35473
"Total"	"Mississippi"	"28"			222788
	"Missouri"	"29"	"2015"	"2015"	75061
	"Missouri"	"29"	"2016"	"2016"	74705
	"Missouri"	"29"	"2017"	"2017"	73034
	"Missouri"	"29"	"2018"	"2018"	73269
	"Missouri"	"29"	"2019"	"2019"	72127
	"Missouri"	"29"	"2020"	"2020"	69285
"Total"	"Missouri"	"29"			437481
	"Montana"	"30"	"2015"	"2015"	12583
	"Montana"	"30"	"2016"	"2016"	12282
	"Montana"	"30"	"2017"	"2017"	11799
	"Montana"	"30"	"2018"	"2018"	11513
	"Montana"	"30"	"2019"	"2019"	11079
	"Montana"	"30"	"2020"	"2020"	10791
"Total"	"Montana"	"30"			70047
	"Nebraska"	"31"	"2015"	"2015"	26679
	"Nebraska"	"31"	"2016"	"2016"	26589
	"Nebraska"	"31"	"2017"	"2017"	25821
	"Nebraska"	"31"	"2018"	"2018"	25488
	"Nebraska"	"31"	"2019"	"2019"	24755
	"Nebraska"	"31"	"2020"	"2020"	24291
"Total"	"Nebraska"	"31"			153623
	"Nevada"	"32"	"2015"	"2015"	36298
	"Nevada"	"32"	"2016"	"2016"	36260
	"Nevada"	"32"	"2017"	"2017"	35756
	"Nevada"	"32"	"2018"	"2018"	35682
	"Nevada"	"32"	"2019"	"2019"	35072
	"Nevada"	"32"	"2020"	"2020"	33653
"Total"	"Nevada"	"32"			212721
	"New Hampshire"	"33"	"2015"	"2015"	12433
	"New Hampshire"	"33"	"2016"	"2016"	12267
	"New Hampshire"	"33"	"2017"	"2017"	12116
	"New Hampshire"	"33"	"2018"	"2018"	11995
	"New Hampshire"	"33"	"2019"	"2019"	11839
	"New Hampshire"	"33"	"2020"	"2020"	11791
"Total"	"New Hampshire"	"33"			72441
	"New Jersey"	"34"	"2015"	"2015"	103127
	"New Jersey"	"34"	"2016"	"2016"	102647
	"New Jersey"	"34"	"2017"	"2017"	101250
	"New Jersey"	"34"	"2018"	"2018"	101223
	"New Jersey"	"34"	"2019"	"2019"	99585
	"New Jersey"	"34"	"2020"	"2020"	97954
"Total"	"New Jersey"	"34"			605786
	"New Mexico"	"35"	"2015"	"2015"	25816
	"New Mexico"	"35"	"2016"	"2016"	24692
	"New Mexico"	"35"	"2017"	"2017"	23767
	"New Mexico"	"35"	"2018"	"2018"	23039
	"New Mexico"	"35"	"2019"	"2019"	22960
	"New Mexico"	"35"	"2020"	"2020"	21903
"Total"	"New Mexico"	"35"			142177
	"New York"	"36"	"2015"	"2015"	237274
	"New York"	"36"	"2016"	"2016"	234283
	"New York"	"36"	"2017"	"2017"	229737
	"New York"	"36"	"2018"	"2018"	226238
	"New York"	"36"	"2019"	"2019"	221539
	"New York"	"36"	"2020"	"2020"	209338
"Total"	"New York"	"36"			1358409
	"North Carolina"	"37"	"2015"	"2015"	120843
	"North Carolina"	"37"	"2016"	"2016"	120779
	"North Carolina"	"37"	"2017"	"2017"	120125
	"North Carolina"	"37"	"2018"	"2018"	118954
	"North Carolina"	"37"	"2019"	"2019"	118725
	"North Carolina"	"37"	"2020"	"2020"	116730
"Total"	"North Carolina"	"37"			716156
	"North Dakota"	"38"	"2015"	"2015"	11314
	"North Dakota"	"38"	"2016"	"2016"	11383
	"North Dakota"	"38"	"2017"	"2017"	10737
	"North Dakota"	"38"	"2018"	"2018"	10636
	"North Dakota"	"38"	"2019"	"2019"	10454
	"North Dakota"	"38"	"2020"	"2020"	10059
"Total"	"North Dakota"	"38"			64583
	"Ohio"	"39"	"2015"	"2015"	139264
	"Ohio"	"39"	"2016"	"2016"	138085
	"Ohio"	"39"	"2017"	"2017"	136832
	"Ohio"	"39"	"2018"	"2018"	135134
	"Ohio"	"39"	"2019"	"2019"	134461
	"Ohio"	"39"	"2020"	"2020"	129191
"Total"	"Ohio"	"39"			812967
	"Oklahoma"	"40"	"2015"	"2015"	53122
	"Oklahoma"	"40"	"2016"	"2016"	52592
	"Oklahoma"	"40"	"2017"	"2017"	50214
	"Oklahoma"	"40"	"2018"	"2018"	49800
	"Oklahoma"	"40"	"2019"	"2019"	49143
	"Oklahoma"	"40"	"2020"	"2020"	47623
"Total"	"Oklahoma"	"40"			302494
	"Oregon"	"41"	"2015"	"2015"	45655
	"Oregon"	"41"	"2016"	"2016"	45535
	"Oregon"	"41"	"2017"	"2017"	43631
	"Oregon"	"41"	"2018"	"2018"	42188
	"Oregon"	"41"	"2019"	"2019"	41858
	"Oregon"	"41"	"2020"	"2020"	39820
"Total"	"Oregon"	"41"			258687
	"Pennsylvania"	"42"	"2015"	"2015"	141047
	"Pennsylvania"	"42"	"2016"	"2016"	139409
	"Pennsylvania"	"42"	"2017"	"2017"	137745
	"Pennsylvania"	"42"	"2018"	"2018"	135673
	"Pennsylvania"	"42"	"2019"	"2019"	134230
	"Pennsylvania"	"42"	"2020"	"2020"	130693
"Total"	"Pennsylvania"	"42"			818797
	"Rhode Island"	"44"	"2015"	"2015"	10993
	"Rhode Island"	"44"	"2016"	"2016"	10798
	"Rhode Island"	"44"	"2017"	"2017"	10638
	"Rhode Island"	"44"	"2018"	"2018"	10506
	"Rhode Island"	"44"	"2019"	"2019"	10175
	"Rhode Island"	"44"	"2020"	"2020"	10101
"Total"	"Rhode Island"	"44"			63211
	"South Carolina"	"45"	"2015"	"2015"	58139
	"South Carolina"	"45"	"2016"	"2016"	57342
	"South Carolina"	"45"	"2017"	"2017"	57029
	"South Carolina"	"45"	"2018"	"2018"	56669
	"South Carolina"	"45"	"2019"	"2019"	57038
	"South Carolina"	"45"	"2020"	"2020"	55704
"Total"	"South Carolina"	"45"			341921
	"South Dakota"	"46"	"2015"	"2015"	12336
	"South Dakota"	"46"	"2016"	"2016"	12275
	"South Dakota"	"46"	"2017"	"2017"	12134
	"South Dakota"	"46"	"2018"	"2018"	11893
	"South Dakota"	"46"	"2019"	"2019"	11449
	"South Dakota"	"46"	"2020"	"2020"	10960
"Total"	"South Dakota"	"46"			71047
	"Tennessee"	"47"	"2015"	"2015"	81685
	"Tennessee"	"47"	"2016"	"2016"	80807
	"Tennessee"	"47"	"2017"	"2017"	81016
	"Tennessee"	"47"	"2018"	"2018"	80751
	"Tennessee"	"47"	"2019"	"2019"	80450
	"Tennessee"	"47"	"2020"	"2020"	78689
"Total"	"Tennessee"	"47"			483398
	"Texas"	"48"	"2015"	"2015"	403618
	"Texas"	"48"	"2016"	"2016"	398047
	"Texas"	"48"	"2017"	"2017"	382050
	"Texas"	"48"	"2018"	"2018"	378624
	"Texas"	"48"	"2019"	"2019"	377599
	"Texas"	"48"	"2020"	"2020"	368190
"Total"	"Texas"	"48"			2308128
	"Utah"	"49"	"2015"	"2015"	50778
	"Utah"	"49"	"2016"	"2016"	50464
	"Utah"	"49"	"2017"	"2017"	48585
	"Utah"	"49"	"2018"	"2018"	47209
	"Utah"	"49"	"2019"	"2019"	46826
	"Utah"	"49"	"2020"	"2020"	45702
"Total"	"Utah"	"49"			289564
	"Vermont"	"50"	"2015"	"2015"	5903
	"Vermont"	"50"	"2016"	"2016"	5756
	"Vermont"	"50"	"2017"	"2017"	5655
	"Vermont"	"50"	"2018"	"2018"	5432
	"Vermont"	"50"	"2019"	"2019"	5361
	"Vermont"	"50"	"2020"	"2020"	5133
"Total"	"Vermont"	"50"			33240
	"Virginia"	"51"	"2015"	"2015"	103303
	"Virginia"	"51"	"2016"	"2016"	102460
	"Virginia"	"51"	"2017"	"2017"	100391
	"Virginia"	"51"	"2018"	"2018"	99843
	"Virginia"	"51"	"2019"	"2019"	97429
	"Virginia"	"51"	"2020"	"2020"	94749
"Total"	"Virginia"	"51"			598175
	"Washington"	"53"	"2015"	"2015"	88990
	"Washington"	"53"	"2016"	"2016"	90505
	"Washington"	"53"	"2017"	"2017"	87562
	"Washington"	"53"	"2018"	"2018"	86085
	"Washington"	"53"	"2019"	"2019"	84895
	"Washington"	"53"	"2020"	"2020"	83086
"Total"	"Washington"	"53"			521123
	"West Virginia"	"54"	"2015"	"2015"	19805
	"West Virginia"	"54"	"2016"	"2016"	19079
	"West Virginia"	"54"	"2017"	"2017"	18675
	"West Virginia"	"54"	"2018"	"2018"	18248
	"West Virginia"	"54"	"2019"	"2019"	18136
	"West Virginia"	"54"	"2020"	"2020"	17323
"Total"	"West Virginia"	"54"			111266
	"Wisconsin"	"55"	"2015"	"2015"	67041
	"Wisconsin"	"55"	"2016"	"2016"	66615
	"Wisconsin"	"55"	"2017"	"2017"	64975
	"Wisconsin"	"55"	"2018"	"2018"	64098
	"Wisconsin"	"55"	"2019"	"2019"	63270
	"Wisconsin"	"55"	"2020"	"2020"	60594
"Total"	"Wisconsin"	"55"			386593
	"Wyoming"	"56"	"2015"	"2015"	7765
	"Wyoming"	"56"	"2016"	"2016"	7386
	"Wyoming"	"56"	"2017"	"2017"	6903
	"Wyoming"	"56"	"2018"	"2018"	6562
	"Wyoming"	"56"	"2019"	"2019"	6565
	"Wyoming"	"56"	"2020"	"2020"	6128
"Total"	"Wyoming"	"56"			41309
"Total"					22932771
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Year: 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: May 18, 2022 7:51:07 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2020, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on May 18, 2022 7:51:07 AM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
